row,Games home manager,Wins home manager,Losses home manager,Games visiting manager,Wins visiting manager,Losses visiting manager
21901,144.0,77.0,67.0,144.0,69.0,75.0
21902,144.0,77.0,67.0,144.0,69.0,75.0
21903,,,,,,
21904,144.0,76.0,68.0,144.0,70.0,74.0
21905,144.0,69.0,75.0,,,
21906,144.0,58.0,86.0,144.0,66.0,78.0
21907,144.0,67.0,77.0,144.0,73.0,71.0
21908,144.0,67.0,77.0,144.0,90.0,54.0
21909,144.0,85.0,59.0,144.0,56.0,88.0
21910,144.0,86.0,58.0,144.0,70.0,74.0
21911,113.0,57.0,56.0,,,
21912,47.0,20.0,27.0,144.0,74.0,70.0
21913,145.0,79.0,66.0,144.0,65.0,79.0
21914,144.0,56.0,88.0,144.0,100.0,44.0
21915,144.0,77.0,67.0,144.0,69.0,75.0
21916,,,,,,
21917,144.0,76.0,68.0,144.0,70.0,74.0
21918,144.0,69.0,75.0,,,
21919,144.0,58.0,86.0,144.0,66.0,78.0
21920,144.0,67.0,77.0,144.0,73.0,71.0
21921,144.0,67.0,77.0,144.0,90.0,54.0
21922,144.0,85.0,59.0,144.0,100.0,44.0
21923,145.0,78.0,67.0,144.0,65.0,79.0
21924,113.0,57.0,56.0,144.0,74.0,70.0
21925,144.0,56.0,88.0,144.0,86.0,58.0
21926,47.0,20.0,27.0,144.0,70.0,74.0
21927,145.0,79.0,66.0,,,
21928,144.0,56.0,88.0,,,
21929,144.0,77.0,67.0,144.0,73.0,71.0
21930,,,,,,
21931,144.0,58.0,86.0,144.0,69.0,75.0
21932,144.0,67.0,77.0,144.0,90.0,54.0
21933,144.0,67.0,77.0,144.0,66.0,78.0
21934,144.0,85.0,59.0,144.0,100.0,44.0
21935,145.0,78.0,67.0,144.0,65.0,79.0
21936,113.0,57.0,56.0,144.0,74.0,70.0
21937,144.0,56.0,88.0,144.0,86.0,58.0
21938,47.0,20.0,27.0,144.0,70.0,74.0
21939,145.0,79.0,66.0,,,
21940,144.0,56.0,88.0,,,
21941,,,,144.0,69.0,75.0
21942,144.0,77.0,67.0,144.0,73.0,71.0
21943,,,,144.0,70.0,74.0
21944,144.0,76.0,68.0,,,
21945,144.0,58.0,86.0,144.0,69.0,75.0
21946,144.0,67.0,77.0,144.0,90.0,54.0
21947,144.0,67.0,77.0,144.0,66.0,78.0
21948,144.0,85.0,59.0,144.0,100.0,44.0
21949,145.0,78.0,67.0,144.0,65.0,79.0
21950,113.0,57.0,56.0,144.0,74.0,70.0
21951,144.0,56.0,88.0,144.0,86.0,58.0
21952,47.0,20.0,27.0,144.0,70.0,74.0
21953,145.0,79.0,66.0,,,
21954,144.0,56.0,88.0,,,
21955,,,,144.0,69.0,75.0
21956,144.0,77.0,67.0,144.0,73.0,71.0
21957,,,,144.0,70.0,74.0
21958,144.0,76.0,68.0,,,
21959,144.0,58.0,86.0,144.0,69.0,75.0
21960,144.0,67.0,77.0,144.0,90.0,54.0
21961,144.0,67.0,77.0,144.0,66.0,78.0
21962,144.0,85.0,59.0,144.0,100.0,44.0
21963,145.0,78.0,67.0,144.0,65.0,79.0
21964,113.0,57.0,56.0,144.0,74.0,70.0
21965,144.0,56.0,88.0,144.0,86.0,58.0
21966,47.0,20.0,27.0,144.0,70.0,74.0
21967,145.0,79.0,66.0,,,
21968,144.0,56.0,88.0,,,
21969,,,,144.0,69.0,75.0
21970,144.0,77.0,67.0,144.0,73.0,71.0
21971,,,,144.0,70.0,74.0
21972,144.0,76.0,68.0,,,
21973,144.0,58.0,86.0,144.0,69.0,75.0
21974,144.0,67.0,77.0,144.0,90.0,54.0
21975,144.0,67.0,77.0,144.0,66.0,78.0
21976,,,,144.0,76.0,68.0
21977,,,,144.0,70.0,74.0
21978,144.0,66.0,78.0,144.0,77.0,67.0
21979,144.0,69.0,75.0,144.0,58.0,86.0
21980,144.0,100.0,44.0,144.0,56.0,88.0
21981,,,,145.0,78.0,67.0
21982,144.0,70.0,74.0,144.0,86.0,58.0
21983,144.0,65.0,79.0,145.0,79.0,66.0
21984,144.0,65.0,79.0,145.0,79.0,66.0
21985,144.0,56.0,88.0,144.0,85.0,59.0
21986,,,,113.0,57.0,56.0
21987,144.0,74.0,70.0,47.0,20.0,27.0
21988,144.0,73.0,71.0,144.0,67.0,77.0
21989,,,,144.0,76.0,68.0
21990,,,,,,
21991,144.0,66.0,78.0,144.0,77.0,67.0
21992,144.0,69.0,75.0,144.0,58.0,86.0
21993,144.0,69.0,75.0,144.0,58.0,86.0
21994,144.0,69.0,75.0,144.0,67.0,77.0
21995,144.0,70.0,74.0,144.0,90.0,54.0
21996,144.0,100.0,44.0,144.0,56.0,88.0
21997,,,,145.0,78.0,67.0
21998,144.0,70.0,74.0,144.0,86.0,58.0
21999,144.0,65.0,79.0,145.0,79.0,66.0
22000,144.0,56.0,88.0,144.0,85.0,59.0
22001,,,,113.0,57.0,56.0
22002,144.0,74.0,70.0,47.0,20.0,27.0
22003,144.0,73.0,71.0,144.0,67.0,77.0
22004,,,,144.0,76.0,68.0
22005,,,,,,
22006,144.0,66.0,78.0,144.0,77.0,67.0
22007,144.0,69.0,75.0,144.0,58.0,86.0
22008,144.0,70.0,74.0,144.0,90.0,54.0
22009,144.0,100.0,44.0,144.0,56.0,88.0
22010,,,,145.0,78.0,67.0
22011,144.0,70.0,74.0,144.0,86.0,58.0
22012,144.0,65.0,79.0,145.0,79.0,66.0
22013,144.0,56.0,88.0,144.0,85.0,59.0
22014,,,,113.0,57.0,56.0
22015,144.0,74.0,70.0,47.0,20.0,27.0
22016,144.0,73.0,71.0,144.0,77.0,67.0
22017,,,,,,
22018,144.0,66.0,78.0,,,
22019,144.0,69.0,75.0,144.0,58.0,86.0
22020,144.0,69.0,75.0,144.0,67.0,77.0
22021,144.0,69.0,75.0,144.0,67.0,77.0
22022,144.0,70.0,74.0,144.0,90.0,54.0
22023,144.0,86.0,58.0,144.0,56.0,88.0
22024,144.0,100.0,44.0,144.0,85.0,59.0
22025,,,,145.0,79.0,66.0
22026,144.0,70.0,74.0,47.0,20.0,27.0
22027,,,,144.0,65.0,79.0
22028,144.0,74.0,70.0,113.0,57.0,56.0
22029,144.0,56.0,88.0,145.0,78.0,67.0
22030,144.0,73.0,71.0,144.0,77.0,67.0
22031,144.0,76.0,68.0,144.0,67.0,77.0
22032,,,,144.0,90.0,54.0
22033,144.0,66.0,78.0,,,
22034,144.0,69.0,75.0,144.0,67.0,77.0
22035,144.0,69.0,75.0,144.0,58.0,86.0
22036,144.0,70.0,74.0,,,
22037,144.0,86.0,58.0,144.0,56.0,88.0
22038,144.0,86.0,58.0,144.0,56.0,88.0
22039,144.0,100.0,44.0,144.0,85.0,59.0
22040,,,,145.0,79.0,66.0
22041,144.0,70.0,74.0,47.0,20.0,27.0
22042,,,,144.0,65.0,79.0
22043,144.0,74.0,70.0,113.0,57.0,56.0
22044,144.0,56.0,88.0,145.0,78.0,67.0
22045,144.0,73.0,71.0,144.0,77.0,67.0
22046,144.0,76.0,68.0,144.0,67.0,77.0
22047,,,,144.0,90.0,54.0
22048,144.0,66.0,78.0,,,
22049,144.0,69.0,75.0,144.0,67.0,77.0
22050,144.0,69.0,75.0,144.0,58.0,86.0
22051,144.0,70.0,74.0,,,
22052,144.0,86.0,58.0,144.0,56.0,88.0
22053,144.0,100.0,44.0,144.0,85.0,59.0
22054,,,,145.0,79.0,66.0
22055,144.0,70.0,74.0,47.0,20.0,27.0
22056,,,,144.0,65.0,79.0
22057,144.0,74.0,70.0,113.0,57.0,56.0
22058,144.0,56.0,88.0,145.0,78.0,67.0
22059,144.0,73.0,71.0,144.0,77.0,67.0
22060,144.0,76.0,68.0,144.0,67.0,77.0
22061,,,,144.0,90.0,54.0
22062,144.0,66.0,78.0,,,
22063,144.0,69.0,75.0,144.0,67.0,77.0
22064,144.0,69.0,75.0,144.0,58.0,86.0
22065,144.0,70.0,74.0,,,
22066,144.0,86.0,58.0,144.0,56.0,88.0
22067,144.0,100.0,44.0,144.0,85.0,59.0
22068,144.0,70.0,74.0,47.0,20.0,27.0
22069,,,,144.0,65.0,79.0
22070,144.0,74.0,70.0,113.0,57.0,56.0
22071,144.0,73.0,71.0,144.0,69.0,75.0
22072,144.0,77.0,67.0,,,
22073,144.0,69.0,75.0,144.0,58.0,86.0
22074,144.0,67.0,77.0,,,
22075,144.0,67.0,77.0,144.0,70.0,74.0
22076,144.0,86.0,58.0,144.0,56.0,88.0
22077,,,,144.0,56.0,88.0
22078,,,,144.0,74.0,70.0
22079,144.0,70.0,74.0,,,
22080,144.0,65.0,79.0,144.0,85.0,59.0
22081,47.0,20.0,27.0,113.0,57.0,56.0
22082,145.0,79.0,66.0,144.0,100.0,44.0
22083,144.0,90.0,54.0,144.0,69.0,75.0
22084,144.0,73.0,71.0,144.0,69.0,75.0
22085,144.0,77.0,67.0,,,
22086,144.0,76.0,68.0,144.0,66.0,78.0
22087,144.0,58.0,86.0,,,
22088,144.0,67.0,77.0,,,
22089,144.0,67.0,77.0,144.0,70.0,74.0
22090,144.0,86.0,58.0,144.0,56.0,88.0
22091,,,,144.0,56.0,88.0
22092,,,,144.0,74.0,70.0
22093,144.0,70.0,74.0,,,
22094,144.0,65.0,79.0,144.0,85.0,59.0
22095,47.0,20.0,27.0,113.0,57.0,56.0
22096,145.0,79.0,66.0,144.0,100.0,44.0
22097,144.0,90.0,54.0,144.0,69.0,75.0
22098,144.0,73.0,71.0,144.0,69.0,75.0
22099,144.0,77.0,67.0,,,
22100,144.0,76.0,68.0,144.0,66.0,78.0
22101,144.0,58.0,86.0,,,
22102,144.0,67.0,77.0,,,
22103,144.0,67.0,77.0,144.0,70.0,74.0
22104,144.0,86.0,58.0,144.0,56.0,88.0
22105,,,,144.0,56.0,88.0
22106,,,,144.0,74.0,70.0
22107,144.0,70.0,74.0,,,
22108,144.0,65.0,79.0,144.0,85.0,59.0
22109,47.0,20.0,27.0,113.0,57.0,56.0
22110,145.0,79.0,66.0,144.0,100.0,44.0
22111,144.0,90.0,54.0,144.0,69.0,75.0
22112,,,,144.0,69.0,75.0
22113,144.0,76.0,68.0,144.0,66.0,78.0
22114,144.0,58.0,86.0,144.0,70.0,74.0
22115,144.0,67.0,77.0,144.0,67.0,77.0
22116,,,,144.0,70.0,74.0
22117,113.0,57.0,56.0,144.0,85.0,59.0
22118,144.0,65.0,79.0,144.0,86.0,58.0
22119,144.0,65.0,79.0,144.0,86.0,58.0
22120,47.0,20.0,27.0,,,
22121,,,,144.0,100.0,44.0
22122,145.0,79.0,66.0,144.0,56.0,88.0
22123,144.0,56.0,88.0,144.0,74.0,70.0
22124,144.0,90.0,54.0,144.0,77.0,67.0
22125,,,,,,
22126,,,,144.0,69.0,75.0
22127,144.0,66.0,78.0,144.0,73.0,71.0
22128,144.0,69.0,75.0,144.0,76.0,68.0
22129,144.0,58.0,86.0,144.0,70.0,74.0
22130,144.0,67.0,77.0,144.0,67.0,77.0
22131,,,,144.0,70.0,74.0
22132,113.0,57.0,56.0,144.0,85.0,59.0
22133,144.0,65.0,79.0,144.0,86.0,58.0
22134,47.0,20.0,27.0,,,
22135,,,,144.0,100.0,44.0
22136,145.0,79.0,66.0,144.0,56.0,88.0
22137,144.0,56.0,88.0,144.0,74.0,70.0
22138,144.0,90.0,54.0,144.0,77.0,67.0
22139,,,,,,
22140,,,,144.0,69.0,75.0
22141,144.0,66.0,78.0,144.0,73.0,71.0
22142,144.0,69.0,75.0,144.0,76.0,68.0
22143,144.0,58.0,86.0,144.0,70.0,74.0
22144,144.0,67.0,77.0,144.0,67.0,77.0
22145,,,,144.0,70.0,74.0
22146,113.0,57.0,56.0,144.0,85.0,59.0
22147,144.0,65.0,79.0,144.0,86.0,58.0
22148,47.0,20.0,27.0,,,
22149,,,,144.0,100.0,44.0
22150,145.0,79.0,66.0,144.0,56.0,88.0
22151,144.0,56.0,88.0,144.0,74.0,70.0
22152,144.0,90.0,54.0,144.0,77.0,67.0
22153,,,,,,
22154,,,,144.0,69.0,75.0
22155,144.0,66.0,78.0,144.0,73.0,71.0
22156,144.0,69.0,75.0,144.0,76.0,68.0
22157,144.0,58.0,86.0,144.0,70.0,74.0
22158,144.0,67.0,77.0,144.0,67.0,77.0
22159,,,,144.0,100.0,44.0
22160,113.0,57.0,56.0,47.0,20.0,27.0
22161,,,,144.0,56.0,88.0
22162,145.0,79.0,66.0,144.0,70.0,74.0
22163,144.0,74.0,70.0,,,
22164,144.0,56.0,88.0,144.0,86.0,58.0
22165,,,,,,
22166,144.0,66.0,78.0,144.0,76.0,68.0
22167,144.0,69.0,75.0,144.0,73.0,71.0
22168,144.0,85.0,59.0,144.0,65.0,79.0
22169,,,,144.0,100.0,44.0
22170,113.0,57.0,56.0,47.0,20.0,27.0
22171,,,,144.0,56.0,88.0
22172,145.0,79.0,66.0,144.0,70.0,74.0
22173,144.0,74.0,70.0,,,
22174,144.0,56.0,88.0,144.0,86.0,58.0
22175,,,,144.0,70.0,74.0
22176,,,,144.0,77.0,67.0
22177,144.0,66.0,78.0,144.0,76.0,68.0
22178,144.0,69.0,75.0,144.0,73.0,71.0
22179,144.0,69.0,75.0,144.0,90.0,54.0
22180,144.0,69.0,75.0,144.0,90.0,54.0
22181,144.0,58.0,86.0,144.0,67.0,77.0
22182,144.0,67.0,77.0,,,
22183,144.0,85.0,59.0,144.0,65.0,79.0
22184,,,,144.0,100.0,44.0
22185,113.0,57.0,56.0,47.0,20.0,27.0
22186,,,,144.0,56.0,88.0
22187,145.0,79.0,66.0,144.0,70.0,74.0
22188,144.0,74.0,70.0,,,
22189,144.0,56.0,88.0,144.0,86.0,58.0
22190,,,,144.0,70.0,74.0
22191,,,,144.0,77.0,67.0
22192,144.0,66.0,78.0,144.0,76.0,68.0
22193,144.0,69.0,75.0,144.0,73.0,71.0
22194,144.0,69.0,75.0,144.0,90.0,54.0
22195,144.0,58.0,86.0,144.0,67.0,77.0
22196,144.0,67.0,77.0,,,
22197,,,,144.0,85.0,59.0
22198,,,,144.0,70.0,74.0
22199,,,,144.0,77.0,67.0
22200,144.0,69.0,75.0,144.0,90.0,54.0
22201,144.0,67.0,77.0,,,
22202,144.0,86.0,58.0,,,
22203,144.0,100.0,44.0,,,
22204,144.0,65.0,79.0,113.0,57.0,56.0
22205,144.0,65.0,79.0,113.0,57.0,56.0
22206,144.0,56.0,88.0,144.0,56.0,88.0
22207,47.0,20.0,27.0,145.0,79.0,66.0
22208,,,,144.0,85.0,59.0
22209,,,,144.0,85.0,59.0
22210,144.0,74.0,70.0,144.0,70.0,74.0
22211,144.0,90.0,54.0,144.0,58.0,86.0
22212,144.0,73.0,71.0,144.0,76.0,68.0
22213,,,,144.0,77.0,67.0
22214,,,,144.0,66.0,78.0
22215,144.0,69.0,75.0,144.0,67.0,77.0
22216,144.0,70.0,74.0,144.0,69.0,75.0
22217,144.0,67.0,77.0,,,
22218,144.0,86.0,58.0,,,
22219,144.0,100.0,44.0,,,
22220,144.0,65.0,79.0,113.0,57.0,56.0
22221,144.0,56.0,88.0,144.0,56.0,88.0
22222,47.0,20.0,27.0,145.0,79.0,66.0
22223,,,,144.0,85.0,59.0
22224,144.0,74.0,70.0,144.0,70.0,74.0
22225,144.0,90.0,54.0,144.0,58.0,86.0
22226,144.0,73.0,71.0,144.0,76.0,68.0
22227,,,,144.0,77.0,67.0
22228,,,,144.0,77.0,67.0
22229,,,,144.0,66.0,78.0
22230,144.0,69.0,75.0,144.0,67.0,77.0
22231,144.0,70.0,74.0,144.0,69.0,75.0
22232,144.0,67.0,77.0,,,
22233,144.0,86.0,58.0,,,
22234,144.0,100.0,44.0,,,
22235,144.0,65.0,79.0,113.0,57.0,56.0
22236,144.0,56.0,88.0,144.0,56.0,88.0
22237,47.0,20.0,27.0,145.0,79.0,66.0
22238,,,,144.0,85.0,59.0
22239,144.0,74.0,70.0,144.0,70.0,74.0
22240,144.0,90.0,54.0,144.0,58.0,86.0
22241,144.0,73.0,71.0,144.0,76.0,68.0
22242,,,,144.0,77.0,67.0
22243,,,,144.0,66.0,78.0
22244,144.0,69.0,75.0,144.0,67.0,77.0
22245,144.0,70.0,74.0,144.0,69.0,75.0
22246,144.0,67.0,77.0,,,
22247,144.0,86.0,58.0,,,
22248,144.0,100.0,44.0,144.0,74.0,70.0
22249,,,,113.0,57.0,56.0
22250,144.0,70.0,74.0,144.0,56.0,88.0
22251,144.0,56.0,88.0,144.0,65.0,79.0
22252,47.0,20.0,27.0,145.0,79.0,66.0
22253,144.0,73.0,71.0,,,
22254,,,,144.0,77.0,67.0
22255,144.0,76.0,68.0,144.0,58.0,86.0
22256,144.0,70.0,74.0,144.0,66.0,78.0
22257,144.0,67.0,77.0,144.0,69.0,75.0
22258,144.0,85.0,59.0,145.0,79.0,66.0
22259,144.0,86.0,58.0,,,
22260,144.0,100.0,44.0,144.0,74.0,70.0
22261,,,,113.0,57.0,56.0
22262,144.0,70.0,74.0,144.0,56.0,88.0
22263,144.0,56.0,88.0,144.0,65.0,79.0
22264,47.0,20.0,27.0,,,
22265,144.0,90.0,54.0,,,
22266,144.0,73.0,71.0,,,
22267,144.0,77.0,67.0,144.0,67.0,77.0
22268,144.0,76.0,68.0,144.0,58.0,86.0
22269,,,,144.0,69.0,75.0
22270,144.0,70.0,74.0,144.0,66.0,78.0
22271,144.0,67.0,77.0,144.0,69.0,75.0
22272,144.0,85.0,59.0,145.0,79.0,66.0
22273,144.0,86.0,58.0,,,
22274,144.0,100.0,44.0,144.0,74.0,70.0
22275,,,,113.0,57.0,56.0
22276,144.0,70.0,74.0,144.0,56.0,88.0
22277,144.0,56.0,88.0,144.0,65.0,79.0
22278,47.0,20.0,27.0,,,
22279,144.0,90.0,54.0,,,
22280,144.0,73.0,71.0,,,
22281,144.0,77.0,67.0,144.0,67.0,77.0
22282,144.0,76.0,68.0,144.0,58.0,86.0
22283,,,,144.0,69.0,75.0
22284,144.0,70.0,74.0,144.0,66.0,78.0
22285,144.0,67.0,77.0,144.0,69.0,75.0
22286,144.0,85.0,59.0,145.0,79.0,66.0
22287,144.0,86.0,58.0,,,
22288,113.0,57.0,56.0,144.0,56.0,88.0
22289,144.0,70.0,74.0,,,
22290,144.0,56.0,88.0,144.0,74.0,70.0
22291,47.0,20.0,27.0,,,
22292,144.0,90.0,54.0,,,
22293,144.0,77.0,67.0,144.0,67.0,77.0
22294,144.0,76.0,68.0,144.0,58.0,86.0
22295,,,,144.0,69.0,75.0
22296,144.0,67.0,77.0,144.0,66.0,78.0
22297,144.0,85.0,59.0,,,
22298,144.0,86.0,58.0,145.0,79.0,66.0
22299,113.0,57.0,56.0,144.0,56.0,88.0
22300,144.0,100.0,44.0,144.0,65.0,79.0
22301,144.0,70.0,74.0,,,
22302,144.0,56.0,88.0,144.0,74.0,70.0
22303,47.0,20.0,27.0,,,
22304,144.0,90.0,54.0,144.0,73.0,71.0
22305,144.0,77.0,67.0,144.0,58.0,86.0
22306,,,,,,
22307,,,,,,
22308,144.0,76.0,68.0,144.0,67.0,77.0
22309,,,,144.0,69.0,75.0
22310,144.0,70.0,74.0,144.0,69.0,75.0
22311,144.0,67.0,77.0,144.0,66.0,78.0
22312,144.0,85.0,59.0,,,
22313,144.0,86.0,58.0,145.0,79.0,66.0
22314,113.0,57.0,56.0,144.0,56.0,88.0
22315,144.0,100.0,44.0,144.0,65.0,79.0
22316,144.0,70.0,74.0,,,
22317,144.0,56.0,88.0,144.0,74.0,70.0
22318,47.0,20.0,27.0,,,
22319,144.0,90.0,54.0,144.0,73.0,71.0
22320,144.0,77.0,67.0,144.0,58.0,86.0
22321,,,,,,
22322,144.0,76.0,68.0,144.0,67.0,77.0
22323,,,,144.0,69.0,75.0
22324,144.0,70.0,74.0,144.0,69.0,75.0
22325,144.0,67.0,77.0,144.0,66.0,78.0
22326,144.0,85.0,59.0,,,
22327,144.0,86.0,58.0,145.0,79.0,66.0
22328,113.0,57.0,56.0,144.0,56.0,88.0
22329,144.0,100.0,44.0,144.0,65.0,79.0
22330,144.0,70.0,74.0,,,
22331,144.0,56.0,88.0,144.0,74.0,70.0
22332,47.0,20.0,27.0,,,
22333,144.0,90.0,54.0,144.0,73.0,71.0
22334,144.0,77.0,67.0,144.0,58.0,86.0
22335,,,,,,
22336,144.0,76.0,68.0,144.0,67.0,77.0
22337,,,,144.0,69.0,75.0
22338,144.0,70.0,74.0,144.0,69.0,75.0
22339,144.0,67.0,77.0,144.0,66.0,78.0
22340,144.0,85.0,59.0,,,
22341,,,,144.0,86.0,58.0
22342,113.0,57.0,56.0,144.0,65.0,79.0
22343,,,,144.0,100.0,44.0
22344,145.0,79.0,66.0,47.0,20.0,27.0
22345,144.0,56.0,88.0,144.0,56.0,88.0
22346,144.0,77.0,67.0,,,
22347,144.0,76.0,68.0,144.0,67.0,77.0
22348,144.0,67.0,77.0,144.0,69.0,75.0
22349,144.0,85.0,59.0,,,
22350,,,,144.0,86.0,58.0
22351,113.0,57.0,56.0,144.0,65.0,79.0
22352,,,,144.0,100.0,44.0
22353,144.0,70.0,74.0,144.0,74.0,70.0
22354,145.0,79.0,66.0,47.0,20.0,27.0
22355,144.0,56.0,88.0,144.0,56.0,88.0
22356,144.0,77.0,67.0,,,
22357,144.0,76.0,68.0,144.0,73.0,71.0
22358,144.0,66.0,78.0,,,
22359,,,,144.0,70.0,74.0
22360,144.0,58.0,86.0,144.0,90.0,54.0
22361,144.0,67.0,77.0,144.0,69.0,75.0
22362,144.0,67.0,77.0,,,
22363,144.0,85.0,59.0,,,
22364,,,,144.0,86.0,58.0
22365,113.0,57.0,56.0,144.0,65.0,79.0
22366,,,,144.0,100.0,44.0
22367,144.0,70.0,74.0,144.0,74.0,70.0
22368,145.0,79.0,66.0,47.0,20.0,27.0
22369,144.0,56.0,88.0,144.0,56.0,88.0
22370,144.0,77.0,67.0,,,
22371,144.0,76.0,68.0,144.0,73.0,71.0
22372,144.0,66.0,78.0,,,
22373,,,,144.0,70.0,74.0
22374,144.0,58.0,86.0,144.0,90.0,54.0
22375,144.0,67.0,77.0,144.0,69.0,75.0
22376,144.0,67.0,77.0,,,
22377,,,,47.0,20.0,27.0
22378,,,,144.0,70.0,74.0
22379,144.0,65.0,79.0,144.0,56.0,88.0
22380,145.0,79.0,66.0,144.0,85.0,59.0
22381,144.0,77.0,67.0,,,
22382,144.0,76.0,68.0,144.0,73.0,71.0
22383,144.0,66.0,78.0,,,
22384,,,,144.0,70.0,74.0
22385,144.0,58.0,86.0,144.0,90.0,54.0
22386,144.0,67.0,77.0,,,
22387,,,,47.0,20.0,27.0
22388,,,,144.0,70.0,74.0
22389,144.0,65.0,79.0,144.0,56.0,88.0
22390,,,,144.0,86.0,58.0
22391,145.0,79.0,66.0,144.0,85.0,59.0
22392,144.0,74.0,70.0,144.0,100.0,44.0
22393,144.0,56.0,88.0,113.0,57.0,56.0
22394,144.0,73.0,71.0,144.0,90.0,54.0
22395,144.0,73.0,71.0,144.0,90.0,54.0
22396,,,,,,
22397,144.0,66.0,78.0,144.0,70.0,74.0
22398,,,,144.0,67.0,77.0
22399,144.0,69.0,75.0,,,
22400,144.0,58.0,86.0,144.0,76.0,68.0
22401,144.0,67.0,77.0,144.0,77.0,67.0
22402,,,,47.0,20.0,27.0
22403,,,,144.0,70.0,74.0
22404,144.0,65.0,79.0,144.0,56.0,88.0
22405,,,,144.0,86.0,58.0
22406,145.0,79.0,66.0,144.0,85.0,59.0
22407,144.0,74.0,70.0,144.0,100.0,44.0
22408,144.0,56.0,88.0,113.0,57.0,56.0
22409,144.0,73.0,71.0,144.0,90.0,54.0
22410,,,,,,
22411,144.0,66.0,78.0,144.0,70.0,74.0
22412,,,,144.0,67.0,77.0
22413,144.0,69.0,75.0,,,
22414,144.0,58.0,86.0,144.0,76.0,68.0
22415,144.0,67.0,77.0,144.0,77.0,67.0
22416,,,,47.0,20.0,27.0
22417,,,,144.0,70.0,74.0
22418,144.0,65.0,79.0,144.0,56.0,88.0
22419,,,,144.0,86.0,58.0
22420,145.0,79.0,66.0,144.0,85.0,59.0
22421,144.0,74.0,70.0,144.0,100.0,44.0
22422,144.0,56.0,88.0,113.0,57.0,56.0
22423,144.0,73.0,71.0,144.0,90.0,54.0
22424,,,,,,
22425,144.0,66.0,78.0,144.0,70.0,74.0
22426,,,,144.0,67.0,77.0
22427,144.0,69.0,75.0,,,
22428,144.0,58.0,86.0,144.0,76.0,68.0
22429,144.0,67.0,77.0,144.0,77.0,67.0
22430,,,,144.0,85.0,59.0
22431,113.0,57.0,56.0,,,
22432,144.0,65.0,79.0,144.0,100.0,44.0
22433,,,,47.0,20.0,27.0
22434,145.0,79.0,66.0,144.0,86.0,58.0
22435,144.0,74.0,70.0,144.0,56.0,88.0
22436,144.0,56.0,88.0,144.0,70.0,74.0
22437,,,,144.0,90.0,54.0
22438,,,,144.0,73.0,71.0
22439,144.0,66.0,78.0,144.0,67.0,77.0
22440,,,,,,
22441,144.0,69.0,75.0,144.0,70.0,74.0
22442,144.0,58.0,86.0,144.0,77.0,67.0
22443,144.0,67.0,77.0,144.0,76.0,68.0
22444,,,,144.0,85.0,59.0
22445,113.0,57.0,56.0,,,
22446,144.0,65.0,79.0,144.0,100.0,44.0
22447,,,,47.0,20.0,27.0
22448,145.0,79.0,66.0,144.0,86.0,58.0
22449,144.0,74.0,70.0,144.0,56.0,88.0
22450,144.0,56.0,88.0,144.0,70.0,74.0
22451,,,,144.0,90.0,54.0
22452,,,,144.0,73.0,71.0
22453,144.0,66.0,78.0,144.0,67.0,77.0
22454,,,,,,
22455,144.0,69.0,75.0,144.0,70.0,74.0
22456,144.0,67.0,77.0,144.0,76.0,68.0
22457,,,,144.0,85.0,59.0
22458,113.0,57.0,56.0,,,
22459,144.0,65.0,79.0,144.0,100.0,44.0
22460,,,,47.0,20.0,27.0
22461,145.0,79.0,66.0,144.0,86.0,58.0
22462,144.0,74.0,70.0,144.0,56.0,88.0
22463,144.0,56.0,88.0,144.0,70.0,74.0
22464,,,,144.0,90.0,54.0
22465,,,,144.0,73.0,71.0
22466,144.0,66.0,78.0,144.0,67.0,77.0
22467,,,,,,
22468,144.0,69.0,75.0,144.0,70.0,74.0
22469,144.0,58.0,86.0,144.0,77.0,67.0
22470,144.0,67.0,77.0,144.0,76.0,68.0
22471,,,,144.0,66.0,78.0
22472,144.0,69.0,75.0,144.0,73.0,71.0
22473,144.0,85.0,59.0,,,
22474,113.0,57.0,56.0,144.0,86.0,58.0
22475,144.0,65.0,79.0,144.0,74.0,70.0
22476,144.0,56.0,88.0,,,
22477,47.0,20.0,27.0,144.0,56.0,88.0
22478,,,,144.0,70.0,74.0
22479,144.0,90.0,54.0,,,
22480,,,,144.0,67.0,77.0
22481,,,,144.0,67.0,77.0
22482,,,,144.0,66.0,78.0
22483,144.0,76.0,68.0,144.0,77.0,67.0
22484,,,,144.0,58.0,86.0
22485,144.0,69.0,75.0,144.0,73.0,71.0
22486,144.0,67.0,77.0,144.0,70.0,74.0
22487,144.0,85.0,59.0,,,
22488,113.0,57.0,56.0,144.0,86.0,58.0
22489,144.0,65.0,79.0,144.0,74.0,70.0
22490,144.0,56.0,88.0,,,
22491,47.0,20.0,27.0,144.0,56.0,88.0
22492,,,,144.0,70.0,74.0
22493,144.0,90.0,54.0,,,
22494,,,,144.0,67.0,77.0
22495,,,,144.0,66.0,78.0
22496,144.0,76.0,68.0,144.0,77.0,67.0
22497,,,,144.0,58.0,86.0
22498,144.0,69.0,75.0,144.0,73.0,71.0
22499,144.0,67.0,77.0,144.0,70.0,74.0
22500,144.0,85.0,59.0,,,
22501,113.0,57.0,56.0,144.0,86.0,58.0
22502,144.0,100.0,44.0,145.0,79.0,66.0
22503,144.0,100.0,44.0,145.0,79.0,66.0
