row,Games home manager,Wins home manager,Losses home manager,Games visiting manager,Wins visiting manager,Losses visiting manager
139,161.0,84.0,77.0,162.0,101.0,61.0
140,162.0,98.0,64.0,162.0,75.0,87.0
141,18.0,6.0,12.0,,,
142,163.0,81.0,81.0,161.0,84.0,77.0
143,162.0,90.0,72.0,162.0,77.0,85.0
144,162.0,60.0,102.0,105.0,53.0,52.0
145,162.0,91.0,71.0,,,
146,162.0,74.0,88.0,100.0,50.0,50.0
147,,,,129.0,53.0,76.0
148,161.0,57.0,104.0,,,
149,162.0,98.0,64.0,,,
150,18.0,6.0,12.0,162.0,95.0,67.0
151,163.0,81.0,81.0,161.0,84.0,77.0
152,162.0,90.0,72.0,162.0,77.0,85.0
153,162.0,60.0,102.0,105.0,53.0,52.0
154,162.0,91.0,71.0,,,
155,161.0,71.0,90.0,163.0,85.0,77.0
156,162.0,74.0,88.0,100.0,50.0,50.0
157,,,,129.0,53.0,76.0
158,161.0,57.0,104.0,,,
159,162.0,77.0,84.0,162.0,101.0,61.0
160,161.0,84.0,77.0,162.0,75.0,87.0
161,162.0,98.0,64.0,,,
162,18.0,6.0,12.0,162.0,95.0,67.0
163,163.0,81.0,81.0,161.0,84.0,77.0
164,162.0,90.0,72.0,162.0,77.0,85.0
165,162.0,60.0,102.0,105.0,53.0,52.0
166,162.0,91.0,71.0,,,
167,161.0,71.0,90.0,163.0,85.0,77.0
168,162.0,74.0,88.0,100.0,50.0,50.0
169,,,,129.0,53.0,76.0
170,161.0,57.0,104.0,,,
171,162.0,77.0,84.0,162.0,101.0,61.0
172,162.0,89.0,72.0,,,
173,161.0,84.0,77.0,162.0,75.0,87.0
174,18.0,6.0,12.0,162.0,95.0,67.0
175,,,,162.0,60.0,102.0
176,162.0,77.0,85.0,162.0,74.0,88.0
177,162.0,77.0,84.0,161.0,84.0,77.0
178,,,,162.0,89.0,72.0
179,162.0,95.0,67.0,161.0,57.0,104.0
180,,,,162.0,75.0,87.0
181,162.0,101.0,61.0,162.0,98.0,64.0
182,105.0,53.0,52.0,,,
183,161.0,84.0,77.0,163.0,85.0,77.0
184,162.0,91.0,71.0,163.0,81.0,81.0
185,100.0,50.0,50.0,162.0,90.0,72.0
186,,,,162.0,60.0,102.0
187,162.0,77.0,85.0,162.0,74.0,88.0
188,129.0,53.0,76.0,161.0,71.0,90.0
189,162.0,77.0,84.0,161.0,84.0,77.0
190,,,,162.0,89.0,72.0
191,162.0,95.0,67.0,161.0,57.0,104.0
192,,,,162.0,75.0,87.0
193,,,,18.0,6.0,12.0
194,162.0,101.0,61.0,162.0,98.0,64.0
195,105.0,53.0,52.0,,,
196,161.0,84.0,77.0,163.0,85.0,77.0
197,162.0,91.0,71.0,163.0,81.0,81.0
198,100.0,50.0,50.0,162.0,90.0,72.0
199,,,,162.0,60.0,102.0
200,162.0,77.0,85.0,162.0,74.0,88.0
201,129.0,53.0,76.0,161.0,71.0,90.0
202,162.0,77.0,84.0,161.0,84.0,77.0
203,,,,162.0,89.0,72.0
204,162.0,95.0,67.0,161.0,57.0,104.0
205,,,,162.0,75.0,87.0
206,,,,18.0,6.0,12.0
207,162.0,101.0,61.0,162.0,98.0,64.0
208,105.0,53.0,52.0,,,
209,161.0,84.0,77.0,163.0,85.0,77.0
210,100.0,50.0,50.0,162.0,90.0,72.0
211,,,,162.0,60.0,102.0
212,162.0,77.0,85.0,162.0,74.0,88.0
213,129.0,53.0,76.0,161.0,71.0,90.0
214,162.0,77.0,84.0,161.0,84.0,77.0
215,,,,162.0,89.0,72.0
216,162.0,95.0,67.0,161.0,57.0,104.0
217,,,,162.0,75.0,87.0
218,,,,18.0,6.0,12.0
219,162.0,101.0,61.0,162.0,98.0,64.0
220,162.0,95.0,67.0,,,
221,,,,162.0,77.0,84.0
222,18.0,6.0,12.0,162.0,101.0,61.0
223,163.0,81.0,81.0,162.0,74.0,88.0
224,163.0,85.0,77.0,105.0,53.0,52.0
225,161.0,84.0,77.0,162.0,91.0,71.0
226,161.0,71.0,90.0,162.0,77.0,85.0
227,,,,100.0,50.0,50.0
228,129.0,53.0,76.0,162.0,60.0,102.0
229,,,,162.0,90.0,72.0
230,161.0,57.0,104.0,162.0,98.0,64.0
231,162.0,89.0,72.0,161.0,84.0,77.0
232,162.0,95.0,67.0,,,
233,162.0,75.0,87.0,,,
234,,,,162.0,77.0,84.0
235,18.0,6.0,12.0,162.0,101.0,61.0
236,163.0,81.0,81.0,162.0,74.0,88.0
237,163.0,85.0,77.0,105.0,53.0,52.0
238,161.0,84.0,77.0,162.0,91.0,71.0
239,161.0,71.0,90.0,162.0,77.0,85.0
240,,,,100.0,50.0,50.0
241,129.0,53.0,76.0,162.0,60.0,102.0
242,,,,162.0,90.0,72.0
243,161.0,57.0,104.0,162.0,98.0,64.0
244,162.0,89.0,72.0,161.0,84.0,77.0
245,162.0,95.0,67.0,162.0,77.0,84.0
246,162.0,75.0,87.0,,,
247,,,,162.0,101.0,61.0
248,18.0,6.0,12.0,,,
249,163.0,81.0,81.0,162.0,74.0,88.0
250,161.0,71.0,90.0,162.0,77.0,85.0
251,,,,100.0,50.0,50.0
252,,,,162.0,90.0,72.0
253,161.0,57.0,104.0,162.0,98.0,64.0
254,162.0,95.0,67.0,162.0,77.0,84.0
255,,,,162.0,101.0,61.0
256,18.0,6.0,12.0,,,
257,163.0,81.0,81.0,162.0,77.0,85.0
258,163.0,85.0,77.0,162.0,60.0,102.0
259,161.0,84.0,77.0,100.0,50.0,50.0
260,162.0,91.0,71.0,105.0,53.0,52.0
261,161.0,71.0,90.0,162.0,90.0,72.0
262,,,,129.0,53.0,76.0
263,,,,162.0,74.0,88.0
264,162.0,89.0,72.0,162.0,98.0,64.0
265,162.0,95.0,67.0,162.0,101.0,61.0
266,161.0,84.0,77.0,,,
267,162.0,75.0,87.0,161.0,57.0,104.0
268,,,,,,
269,18.0,6.0,12.0,162.0,77.0,84.0
270,163.0,81.0,81.0,162.0,77.0,85.0
271,163.0,85.0,77.0,162.0,60.0,102.0
272,161.0,84.0,77.0,100.0,50.0,50.0
273,162.0,91.0,71.0,105.0,53.0,52.0
274,161.0,71.0,90.0,162.0,90.0,72.0
275,,,,129.0,53.0,76.0
276,,,,162.0,74.0,88.0
277,162.0,89.0,72.0,162.0,98.0,64.0
278,162.0,95.0,67.0,162.0,101.0,61.0
279,161.0,84.0,77.0,,,
280,162.0,75.0,87.0,161.0,57.0,104.0
281,,,,,,
282,18.0,6.0,12.0,162.0,77.0,84.0
283,163.0,81.0,81.0,162.0,77.0,85.0
284,163.0,85.0,77.0,162.0,60.0,102.0
285,161.0,84.0,77.0,100.0,50.0,50.0
286,162.0,91.0,71.0,105.0,53.0,52.0
287,161.0,71.0,90.0,162.0,90.0,72.0
288,,,,129.0,53.0,76.0
289,,,,162.0,74.0,88.0
290,162.0,89.0,72.0,162.0,98.0,64.0
291,162.0,95.0,67.0,162.0,101.0,61.0
292,161.0,84.0,77.0,,,
293,162.0,75.0,87.0,161.0,57.0,104.0
294,,,,,,
295,18.0,6.0,12.0,162.0,77.0,84.0
296,18.0,6.0,12.0,162.0,77.0,84.0
297,163.0,81.0,81.0,162.0,90.0,72.0
298,163.0,85.0,77.0,,,
299,162.0,60.0,102.0,162.0,91.0,71.0
300,161.0,71.0,90.0,162.0,74.0,88.0
301,129.0,53.0,76.0,161.0,84.0,77.0
302,,,,162.0,77.0,85.0
303,162.0,89.0,72.0,161.0,57.0,104.0
304,162.0,75.0,87.0,161.0,84.0,77.0
305,163.0,81.0,81.0,162.0,90.0,72.0
306,163.0,85.0,77.0,,,
307,162.0,60.0,102.0,162.0,91.0,71.0
308,161.0,71.0,90.0,162.0,74.0,88.0
309,100.0,50.0,50.0,105.0,53.0,52.0
310,129.0,53.0,76.0,161.0,84.0,77.0
311,,,,162.0,77.0,85.0
312,162.0,77.0,84.0,162.0,95.0,67.0
313,162.0,89.0,72.0,161.0,57.0,104.0
314,162.0,98.0,64.0,,,
315,162.0,75.0,87.0,161.0,84.0,77.0
316,,,,18.0,6.0,12.0
317,162.0,101.0,61.0,,,
318,162.0,90.0,72.0,,,
319,163.0,85.0,77.0,,,
320,162.0,60.0,102.0,162.0,91.0,71.0
321,100.0,50.0,50.0,105.0,53.0,52.0
322,162.0,77.0,85.0,161.0,71.0,90.0
323,162.0,74.0,88.0,163.0,81.0,81.0
324,129.0,53.0,76.0,161.0,84.0,77.0
325,162.0,77.0,84.0,162.0,95.0,67.0
326,162.0,98.0,64.0,,,
327,162.0,75.0,87.0,161.0,84.0,77.0
328,,,,18.0,6.0,12.0
329,162.0,101.0,61.0,,,
