playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
barnema01,2017,1,BOS,AL,7,3,70,0,0,0,1,209,57,30,7,28,83,0.224,3.88,0,3,1,0,287,15,31,1,3,7
barneto01,2017,1,TEX,AL,2,1,50,0,0,0,2,172,64,35,7,22,57,0.288,5.49,4,4,2,0,252,7,36,0,6,7
barraky01,2017,1,MIA,NL,6,2,66,0,0,0,1,198,53,22,5,38,76,0.222,3.00,3,6,2,1,286,12,25,3,4,4
barreja01,2017,1,ARI,NL,1,1,28,0,0,0,0,81,27,15,7,15,26,0.260,5.00,2,1,0,0,121,5,18,0,2,2
bassan01,2017,1,TEX,AL,0,0,2,0,0,0,0,17,14,9,1,0,1,0.467,14.29,0,1,0,0,31,1,9,0,1,0
bastaan01,2017,1,PIT,NL,0,1,9,0,0,0,0,27,16,15,5,9,8,0.372,15.00,0,2,0,0,52,5,15,0,0,0
bauertr01,2017,1,CLE,AL,17,9,32,31,0,0,0,529,181,82,25,60,196,0.266,4.19,0,3,5,1,749,1,84,1,3,16
baumabu01,2017,1,SDN,NL,2,1,23,0,0,0,0,53,11,5,4,7,21,0.177,2.55,2,0,3,0,72,2,5,0,0,2
beatope01,2017,1,PHI,NL,0,0,1,0,0,0,0,2,0,0,0,0,1,0.000,0.00,0,0,0,0,2,0,0,0,0,0
beckch02,2017,1,CHA,AL,2,1,57,0,0,0,0,194,73,46,16,34,42,0.290,6.40,3,1,4,0,294,12,48,1,3,11
bedroca01,2017,1,LAA,AL,6,5,48,0,0,0,6,134,41,22,5,17,53,0.240,4.43,1,7,0,0,190,13,26,1,1,3
belisma01,2017,1,MIN,AL,2,2,62,0,0,0,9,181,48,27,7,22,54,0.218,4.03,6,2,2,1,247,20,31,2,1,7
belivje01,2017,1,TOR,AL,1,1,19,0,0,0,0,47,17,13,4,6,17,0.283,7.47,1,0,1,0,70,6,14,1,2,1
bellch02,2017,1,DET,AL,0,3,28,4,0,0,0,187,81,48,12,31,57,0.313,6.93,3,1,3,0,293,6,49,0,0,10
benoijo01,2017,1,PHI,NL,1,4,44,0,0,0,2,126,32,19,5,16,43,0.206,4.07,1,0,0,0,171,12,19,0,0,2
benoijo01,2017,2,PIT,NL,0,2,8,0,0,0,0,25,11,7,2,6,3,0.324,7.56,0,1,1,0,42,1,9,0,1,1
bergmch01,2017,1,SEA,AL,4,5,13,8,0,0,0,162,61,30,12,15,33,0.295,5.00,1,0,3,0,230,2,31,4,1,10
berrijo01,2017,1,MIN,AL,14,8,26,25,0,0,0,437,131,63,15,48,139,0.239,3.89,0,7,13,1,616,0,71,3,4,13
betande01,2017,1,NYA,AL,3,6,66,0,0,0,10,179,29,19,3,44,100,0.141,2.87,0,5,11,1,261,21,20,1,0,1
bethach01,2017,1,SDN,NL,0,0,4,0,0,0,0,11,6,6,1,8,2,0.353,14.73,0,2,0,0,25,1,9,0,0,1
bettich01,2017,1,COL,NL,2,4,9,9,0,0,0,139,52,26,8,11,30,0.286,5.05,0,3,1,0,200,0,27,5,1,2
biagijo01,2017,1,TOR,AL,3,13,44,18,0,0,1,359,125,71,15,42,97,0.265,5.34,0,6,2,0,517,3,78,0,2,8
bibenau01,2017,1,TEX,AL,5,2,24,6,0,0,0,208,74,36,14,20,38,0.270,4.67,0,3,3,0,299,6,36,0,2,7
blachty01,2017,1,SFN,NL,8,12,34,24,1,1,0,491,179,87,17,43,73,0.283,4.78,2,3,1,0,692,3,91,10,5,22
blackpa01,2017,1,OAK,AL,3,1,10,10,0,0,0,176,58,21,5,16,22,0.262,3.22,0,1,1,0,238,0,22,0,0,9
blairaa01,2017,1,ATL,NL,0,1,1,1,0,0,0,9,5,5,1,5,3,0.417,15.00,0,1,0,0,19,0,5,1,1,0
blancan01,2017,1,PHI,NL,0,0,1,0,0,0,0,1,1,1,1,0,0,0.500,27.00,0,0,0,0,2,1,1,0,0,0
blantjo01,2017,1,WAS,NL,2,4,51,0,0,0,0,133,53,28,10,13,39,0.296,5.68,2,1,1,0,195,13,29,1,1,4
blazemi01,2017,1,MIL,NL,0,1,5,1,0,0,0,26,12,8,6,1,7,0.343,8.31,0,0,0,0,37,2,9,1,0,2
bleieri01,2017,1,BAL,AL,2,1,57,0,0,0,0,190,62,14,6,13,26,0.257,1.99,3,5,4,0,265,14,23,3,4,9
blevije01,2017,1,NYN,NL,6,0,75,0,0,0,1,147,43,16,4,24,69,0.229,2.94,2,2,4,0,217,5,16,0,1,1
bolsimi01,2017,1,TOR,AL,0,3,11,5,0,0,0,124,48,29,9,27,39,0.298,6.31,0,3,3,0,196,2,32,0,5,5
bonilli01,2017,1,CIN,NL,1,3,10,4,1,0,0,110,42,33,8,22,28,0.292,8.10,0,3,2,0,172,0,33,2,2,3
boshebu01,2017,1,MIN,AL,1,0,38,0,0,0,0,105,37,19,7,10,28,0.268,4.89,1,2,2,0,153,1,20,1,2,2
bowmama01,2017,1,SLN,NL,3,6,75,0,0,0,2,176,52,26,4,18,46,0.239,3.99,2,1,5,0,247,10,29,2,4,7
boxbebr01,2017,1,TBA,AL,4,4,30,0,0,0,0,88,23,11,4,11,40,0.215,3.38,3,1,1,0,121,10,11,1,1,2
boydma01,2017,1,DET,AL,6,11,26,25,1,1,0,405,157,79,18,53,110,0.291,5.27,3,2,3,0,605,0,84,3,6,10
boyerbl01,2017,1,BOS,AL,1,1,32,0,0,0,0,124,50,20,3,14,33,0.311,4.35,3,1,1,0,178,11,20,1,1,7
brachbr01,2017,1,BAL,AL,4,5,67,0,0,0,18,204,51,24,7,26,70,0.208,3.18,1,4,0,1,275,36,27,1,3,5
brachsi01,2017,1,ARI,NL,0,0,21,0,0,0,0,62,18,13,5,7,25,0.225,5.66,0,1,0,0,87,10,14,0,0,1
bradfch02,2017,1,NYN,NL,2,0,28,0,0,0,0,101,30,14,3,13,27,0.233,3.74,1,1,0,0,143,7,17,0,1,2
bradlar01,2017,1,ARI,NL,3,3,63,0,0,0,1,219,55,14,4,21,79,0.207,1.73,2,0,1,1,290,13,14,1,1,6
bradymi01,2017,1,OAK,AL,0,0,16,0,0,0,0,95,33,20,7,6,24,0.270,5.68,2,1,5,0,136,12,22,1,2,3
brantro01,2017,1,CHA,AL,0,0,1,0,0,0,0,3,1,1,1,0,0,0.250,9.00,0,0,0,0,4,1,1,0,0,0
