yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2018,AL,CLE,CLE,C,1,162,81,91,71,Y,N,N,N,818,5595,1447,297,19,216,554,1189,135,36,80,44,648,611,3.77,5,17,41,4372,1349,200,407,1544,83,123,0.986,Cleveland Indians,Progressive Field,1926701,104,102,CLE,CLE,CLE
2018,NL,COL,COL,W,2,163,81,91,72,N,Y,N,N,780,5541,1418,280,42,210,507,1397,95,33,51,37,745,699,4.33,0,10,51,4357,1377,184,525,1409,74,162,0.988,Colorado Rockies,Coors Field,3015880,117,116,COL,COL,COL
2018,AL,DET,DET,C,3,162,81,64,98,N,N,N,N,630,5494,1326,284,35,135,428,1341,70,30,52,40,796,726,4.58,0,2,37,4276,1423,216,491,1215,95,126,0.984,Detroit Tigers,Comerica Park,1856970,101,102,DET,DET,DET
2018,AL,HOU,HOU,W,1,162,81,103,59,Y,N,N,N,797,5453,1390,278,18,205,565,1197,71,26,61,45,534,503,3.11,3,12,46,4365,1164,152,435,1687,63,116,0.989,Houston Astros,Minute Maid Park,2980549,96,94,HOU,HOU,HOU
2018,AL,KCA,KCR,C,5,162,81,58,104,N,N,N,N,638,5505,1350,283,29,155,427,1310,117,38,67,40,833,786,4.94,2,8,33,4296,1542,205,549,1157,77,142,0.987,Kansas City Royals,Kauffman Stadium,1665107,99,100,KCR,KCA,KCA
2018,AL,LAA,ANA,W,4,162,81,80,82,N,N,N,N,721,5472,1323,249,23,214,514,1300,89,22,73,39,722,662,4.15,1,9,35,4312,1353,205,546,1386,76,173,0.987,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,3020216,97,97,LAA,ANA,ANA
2018,NL,LAN,LAD,W,1,163,82,92,71,Y,N,Y,N,804,5572,1394,296,33,235,647,1436,75,24,61,39,610,554,3.38,0,11,48,4428,1279,179,422,1565,100,111,0.983,Los Angeles Dodgers,Dodger Stadium,3857500,98,96,LAD,LAN,LAN
2018,NL,MIA,FLA,E,5,161,81,63,98,N,N,N,N,589,5488,1303,222,24,128,455,1384,45,31,73,31,809,762,4.76,1,12,30,4326,1388,192,605,1249,83,133,0.986,Miami Marlins,Marlins Park,811104,89,90,MIA,FLO,MIA
2018,NL,MIL,MIL,C,1,163,81,96,67,Y,N,N,N,754,5542,1398,252,24,218,537,1458,124,32,58,41,659,606,3.73,0,14,49,4383,1259,173,553,1428,108,141,0.982,Milwaukee Brewers,Miller Park,2850875,102,101,MIL,ML4,MIL
2018,AL,MIN,MIN,C,2,162,81,78,84,N,N,N,N,738,5526,1379,317,22,166,534,1328,47,27,37,38,775,721,4.50,2,7,37,4330,1425,198,573,1377,97,127,0.984,Minnesota Twins,Target Field,1959197,102,102,MIN,MIN,MIN
2018,AL,NYA,NYY,E,2,162,81,100,62,N,Y,N,N,851,5515,1374,269,23,267,625,1421,63,21,62,59,669,611,3.78,2,11,49,4369,1311,177,494,1634,94,95,0.984,New York Yankees,Yankee Stadium III,3482855,104,102,NYY,NYA,NYA
2018,NL,NYN,NYM,E,4,162,81,77,85,N,N,N,N,676,5468,1282,265,34,170,566,1404,71,39,73,42,707,661,4.07,3,15,41,4382,1364,185,484,1446,88,121,0.985,New York Mets,Citi Field,2224995,90,91,NYM,NYN,NYN
2018,AL,OAK,OAK,W,2,162,81,97,65,N,Y,N,N,813,5579,1407,322,20,227,550,1381,35,21,76,44,674,621,3.81,2,14,44,4397,1303,184,474,1237,89,125,0.985,Oakland Athletics,O.co Coliseum,1573616,98,97,OAK,OAK,OAK
2018,NL,PHI,PHI,E,3,162,81,80,82,N,N,N,N,677,5424,1270,241,30,186,582,1520,69,26,64,32,728,665,4.14,0,12,44,4337,1366,171,500,1465,123,138,0.979,Philadelphia Phillies,Citizens Bank Park,2158124,102,103,PHI,PHI,PHI
2018,NL,PIT,PIT,C,4,161,80,82,79,N,N,N,N,692,5447,1381,290,38,157,474,1229,70,38,59,52,693,637,4.00,3,16,40,4302,1380,174,497,1336,105,129,0.982,Pittsburgh Pirates,PNC Park,1465316,96,96,PIT,PIT,PIT
2018,NL,SDN,SDP,W,5,162,81,66,96,N,N,N,N,617,5486,1289,250,30,162,471,1523,95,36,31,36,767,713,4.40,0,5,36,4371,1430,185,519,1399,100,127,0.983,San Diego Padres,Petco Park,2168536,94,95,SDP,SDN,SDN
2018,AL,SEA,SEA,W,3,162,81,89,73,N,N,N,N,677,5513,1402,256,32,176,430,1221,79,37,70,41,711,664,4.13,3,12,60,4346,1396,195,400,1328,88,152,0.985,Seattle Mariners,Safeco Field,2299489,94,95,SEA,SEA,SEA
2018,NL,SFN,SFG,W,4,162,81,73,89,N,N,N,N,603,5541,1324,255,30,133,448,1467,77,34,49,42,699,641,3.95,1,15,36,4384,1387,156,524,1269,97,160,0.984,San Francisco Giants,AT&T Park,3156185,95,96,SFG,SFN,SFN
2018,NL,SLN,STL,C,3,162,81,88,74,N,N,N,N,759,5498,1369,248,9,205,525,1380,63,32,80,48,691,622,3.85,1,8,43,4366,1354,144,593,1337,133,151,0.978,St. Louis Cardinals,Busch Stadium III,3403587,97,96,STL,SLN,SLN
2018,AL,TBA,TBD,E,3,162,81,90,72,N,N,N,N,716,5475,1415,274,43,150,540,1388,128,51,101,50,646,602,3.74,0,14,52,4345,1236,164,501,1421,85,136,0.986,Tampa Bay Rays,Tropicana Field,1154973,97,97,TBR,TBA,TBA
2018,AL,TEX,TEX,W,5,162,81,67,95,N,N,N,N,737,5453,1308,266,24,194,555,1484,74,35,88,34,848,783,4.92,1,5,42,4293,1516,222,491,1121,120,168,0.980,Texas Rangers,Globe Life Park in Arlington,2107107,112,113,TEX,TEX,TEX
2018,AL,TOR,TOR,E,4,162,81,73,89,N,N,N,N,709,5477,1336,320,16,217,499,1387,47,30,58,37,832,772,4.85,0,3,39,4301,1476,208,551,1298,101,138,0.983,Toronto Blue Jays,Rogers Centre,2325281,97,98,TOR,TOR,TOR
2018,NL,WAS,WSN,E,2,162,81,82,80,N,N,N,N,771,5517,1402,284,25,191,631,1289,119,33,59,40,682,649,4.04,2,7,40,4338,1320,198,487,1417,64,115,0.989,Washington Nationals,Nationals Park,2529604,106,105,WSN,MON,WAS
2019,NL,ARI,ARI,W,2,162,81,85,77,N,N,N,N,813,5633,1419,288,40,220,540,1360,88,14,70,40,743,691,4.25,0,11,45,4395,1400,220,516,1427,86,136,0.986,Arizona Diamondbacks,Chase Field,2135510,101,101,ARI,ARI,ARI
2019,NL,ATL,ATL,E,1,162,81,97,65,Y,N,N,N,855,5560,1432,277,29,249,619,1467,89,28,60,35,743,675,4.19,1,8,44,4352,1421,203,548,1393,78,154,0.987,Atlanta Braves,SunTrust Park,2655100,105,103,ATL,ATL,ATL
2019,AL,BAL,BAL,E,5,162,81,54,108,N,N,N,N,729,5596,1379,252,25,213,462,1435,84,30,71,37,981,897,5.59,0,5,27,4329,1544,305,561,1248,108,155,0.982,Baltimore Orioles,Oriole Park at Camden Yards,1307807,99,102,BAL,BAL,BAL
2019,AL,BOS,BOS,E,3,162,81,84,78,N,N,N,N,901,5770,1554,345,27,245,590,1382,68,30,49,44,828,768,4.70,1,8,33,4413,1423,215,605,1633,88,115,0.985,Boston Red Sox,Fenway Park II,2924627,105,104,BOS,BOS,BOS
2019,AL,CHA,CHW,C,3,161,80,72,89,N,N,N,N,708,5529,1443,260,20,182,378,1549,63,28,66,32,832,769,4.90,6,7,33,4238,1438,238,582,1312,117,171,0.980,Chicago White Sox,Guaranteed Rate Field,1649775,97,99,CHW,CHA,CHA
2019,NL,CHN,CHC,C,3,162,81,84,78,N,N,N,N,814,5461,1378,270,26,256,581,1460,45,24,83,39,717,657,4.10,1,10,38,4326,1376,195,534,1444,118,141,0.981,Chicago Cubs,Wrigley Field,3094865,102,101,CHC,CHN,CHN
2019,NL,CIN,CIN,C,4,162,81,75,87,N,N,N,N,701,5450,1328,235,27,227,492,1436,80,38,89,33,711,668,4.18,0,10,46,4314,1270,214,536,1552,91,124,0.984,Cincinnati Reds,Great American Ball Park,1808685,103,103,CIN,CIN,CIN
2019,AL,CLE,CLE,C,2,162,81,93,69,N,N,N,N,769,5425,1354,286,18,223,563,1332,103,35,50,46,657,601,3.76,6,16,42,4313,1308,207,450,1508,83,110,0.985,Cleveland Indians,Progressive Field,1738642,104,102,CLE,CLE,CLE
