playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
arroych01,2017,1,SFN,NL,3B,22,21,582,14,43,2,5,,,,,
arroych01,2017,1,SFN,NL,SS,10,9,248,12,19,1,3,,,,,
ascheco01,2017,1,CHA,AL,1B,2,2,51,19,0,0,1,,,,,
ascheco01,2017,1,CHA,AL,3B,1,0,3,1,0,0,0,,,,,
ascheco01,2017,1,CHA,AL,OF,1,0,9,0,0,0,0,,,,,
asheral01,2017,1,BAL,AL,P,24,6,180,3,6,0,2,,,,,
astinba01,2017,1,CIN,NL,P,6,0,24,2,2,0,0,,,,,
asuajca01,2017,1,SDN,NL,1B,1,0,1,0,0,0,0,,,,,
asuajca01,2017,1,SDN,NL,2B,84,78,2042,143,218,3,68,,,,,
austity01,2017,1,NYA,AL,1B,8,5,135,49,1,0,1,,,,,
austity01,2017,1,NYA,AL,OF,7,1,63,2,0,0,0,,,,,
avilaal01,2017,1,DET,AL,1B,16,10,293,71,2,0,10,,,,,
avilaal01,2017,1,DET,AL,C,50,46,1216,323,18,1,4,1,,22,11,
avilaal01,2017,2,CHN,NL,1B,3,1,36,8,1,0,1,,,,,
avilaal01,2017,2,CHN,NL,C,28,24,627,210,15,2,2,4,,16,6,
avilalu01,2017,1,LAN,NL,P,61,0,138,2,3,1,1,,,,,
avilemi01,2017,1,MIA,NL,1B,2,0,9,2,0,0,0,,,,,
avilemi01,2017,1,MIA,NL,2B,6,4,105,6,19,0,5,,,,,
avilemi01,2017,1,MIA,NL,3B,6,4,110,0,7,0,0,,,,,
avilemi01,2017,1,MIA,NL,OF,1,0,6,0,0,0,0,,,,,
avilemi01,2017,1,MIA,NL,SS,15,12,309,14,35,0,8,,,,,
axforjo01,2017,1,OAK,AL,P,22,0,63,1,4,0,0,,,,,
aybarer01,2017,1,SDN,NL,P,2,0,4,0,0,0,0,,,,,
aybarer01,2017,1,SDN,NL,SS,99,93,2379,117,273,9,63,,,,,
baderha01,2017,1,SLN,NL,OF,27,20,565,49,1,2,0,,,,,
baezja01,2017,1,CHN,NL,1B,4,0,3,1,0,0,1,,,,,
baezja01,2017,1,CHN,NL,2B,80,56,1511,105,132,4,33,,,,,
baezja01,2017,1,CHN,NL,3B,8,4,129,8,11,0,2,,,,,
baezja01,2017,1,CHN,NL,OF,1,0,6,0,0,0,0,,,,,
baezja01,2017,1,CHN,NL,SS,73,67,1720,91,165,11,39,,,,,
baezpe01,2017,1,LAN,NL,P,66,0,192,2,4,0,0,,,,,
bailean01,2017,1,LAA,AL,P,4,0,12,0,0,0,0,,,,,
baileho02,2017,1,CIN,NL,P,18,18,273,7,12,1,0,,,,,
bandaan01,2017,1,ARI,NL,P,8,4,77,0,3,0,0,,,,,
bandyje01,2017,1,MIL,NL,C,50,44,1197,362,26,2,3,5,,34,7,
barbajo01,2017,1,PIT,NL,P,24,0,86,2,4,0,0,,,,,
barneau01,2017,1,LAN,NL,2B,21,4,230,12,17,1,4,,,,,
barneau01,2017,1,LAN,NL,3B,1,0,1,0,0,0,0,,,,,
barneau01,2017,1,LAN,NL,C,55,49,1315,497,16,3,4,3,,24,7,
barneda01,2017,1,TOR,AL,2B,73,58,1535,87,166,2,40,,,,,
barneda01,2017,1,TOR,AL,3B,44,32,884,14,74,4,8,,,,,
barneda01,2017,1,TOR,AL,OF,4,1,39,1,0,0,0,,,,,
barneda01,2017,1,TOR,AL,SS,10,5,162,12,13,2,4,,,,,
barneda02,2017,1,TOR,AL,P,60,0,198,3,3,0,0,,,,,
barneja01,2017,1,MIL,NL,P,73,0,216,7,10,3,1,,,,,
barnema01,2017,1,BOS,AL,P,70,0,209,4,7,0,0,,,,,
barneto01,2017,1,TEX,AL,P,50,0,172,6,3,0,0,,,,,
barnhtu01,2017,1,CIN,NL,C,110,105,2779,863,89,1,9,4,,41,32,
barraky01,2017,1,MIA,NL,P,66,0,198,4,6,0,0,,,,,
barrefr02,2017,1,OAK,AL,2B,10,7,204,12,21,1,2,,,,,
barrefr02,2017,1,OAK,AL,SS,11,9,267,16,33,3,10,,,,,
barreja01,2017,1,ARI,NL,P,28,0,81,2,0,1,0,,,,,
bassan01,2017,1,TEX,AL,P,2,0,17,0,0,0,0,,,,,
bastaan01,2017,1,PIT,NL,P,9,0,27,0,0,0,0,,,,,
bauertr01,2017,1,CLE,AL,P,32,31,529,9,10,1,3,,,,,
baumabu01,2017,1,SDN,NL,P,23,0,53,1,1,0,0,,,,,
bautijo02,2017,1,TOR,AL,1B,1,0,3,2,0,0,0,,,,,
bautijo02,2017,1,TOR,AL,3B,8,4,114,4,10,0,2,,,,,
bautijo02,2017,1,TOR,AL,OF,143,140,3728,274,10,5,2,,,,,
bautira01,2017,1,WAS,NL,OF,13,4,162,11,0,0,0,,,,,
beatope01,2017,1,PHI,NL,P,1,0,2,0,0,0,0,,,,,
beckch02,2017,1,CHA,AL,P,57,0,194,5,8,1,0,,,,,
beckhgo01,2017,1,SEA,AL,2B,5,0,30,5,5,0,4,,,,,
beckhgo01,2017,1,SEA,AL,3B,1,1,27,2,3,0,1,,,,,
beckhgo01,2017,1,SEA,AL,SS,4,2,58,2,3,0,0,,,,,
beckhti01,2017,1,TBA,AL,2B,17,17,423,28,32,2,11,,,,,
beckhti01,2017,1,TBA,AL,3B,1,0,3,1,0,0,0,,,,,
beckhti01,2017,1,TBA,AL,SS,70,69,1821,67,169,9,33,,,,,
beckhti01,2017,2,BAL,AL,SS,49,49,1321,73,148,9,33,,,,,
bedroca01,2017,1,LAA,AL,P,48,0,134,0,1,0,0,,,,,
belisma01,2017,1,MIN,AL,P,62,0,181,5,8,0,0,,,,,
belivje01,2017,1,TOR,AL,P,19,0,47,0,2,0,0,,,,,
bellch02,2017,1,DET,AL,P,28,4,187,1,9,0,1,,,,,
bellico01,2017,1,LAN,NL,1B,93,83,2247,656,36,4,62,,,,,
bellico01,2017,1,LAN,NL,OF,46,43,1098,69,2,1,0,,,,,
belljo02,2017,1,PIT,NL,1B,147,139,3559,1139,86,10,116,,,,,
beltbr01,2017,1,SFN,NL,1B,98,89,2477,771,64,2,74,,,,,
beltbr01,2017,1,SFN,NL,OF,15,10,244,20,0,2,0,,,,,
beltrad01,2017,1,TEX,AL,3B,65,65,1657,50,135,5,13,,,,,
beltrca01,2017,1,HOU,AL,OF,14,12,276,11,0,0,0,,,,,
beninan01,2017,1,BOS,AL,OF,149,143,3958,257,11,5,1,,,,,
benoijo01,2017,1,PHI,NL,P,44,0,126,0,1,0,0,,,,,
benoijo01,2017,2,PIT,NL,P,8,0,25,1,4,0,0,,,,,
bergmch01,2017,1,SEA,AL,P,13,8,162,3,7,0,1,,,,,
berrijo01,2017,1,MIN,AL,P,26,25,437,8,13,1,2,,,,,
berryqu01,2017,1,MIL,NL,OF,3,0,15,3,0,0,0,,,,,
betande01,2017,1,NYA,AL,P,66,0,179,5,4,0,0,,,,,
bethach01,2017,1,SDN,NL,2B,1,0,1,0,0,0,0,,,,,
bethach01,2017,1,SDN,NL,P,4,0,11,0,0,0,0,,,,,
bettich01,2017,1,COL,NL,P,9,9,139,2,11,0,1,,,,,
bettsmo01,2017,1,BOS,AL,OF,153,153,4168,366,8,5,1,,,,,
biagijo01,2017,1,TOR,AL,P,44,18,359,8,13,2,0,,,,,
bibenau01,2017,1,TEX,AL,P,24,6,208,6,8,0,1,,,,,
birdgr01,2017,1,NYA,AL,1B,46,40,1082,302,12,0,20,,,,,
blachty01,2017,1,SFN,NL,P,34,24,491,21,21,2,2,,,,,
blackch02,2017,1,COL,NL,OF,158,158,4099,339,4,4,3,,,,,
blackpa01,2017,1,OAK,AL,P,10,10,176,1,8,0,0,,,,,
blairaa01,2017,1,ATL,NL,P,1,1,9,0,1,0,0,,,,,
blancan01,2017,1,PHI,NL,1B,11,0,72,17,2,0,3,,,,,
blancan01,2017,1,PHI,NL,2B,15,13,342,12,32,2,3,,,,,
blancan01,2017,1,PHI,NL,3B,16,7,214,4,11,0,0,,,,,
blancan01,2017,1,PHI,NL,P,1,0,1,0,0,0,0,,,,,
blancan01,2017,1,PHI,NL,SS,4,0,29,5,1,0,1,,,,,
blancgr01,2017,1,ARI,NL,OF,72,52,1482,97,0,3,0,,,,,
blantjo01,2017,1,WAS,NL,P,51,0,133,3,3,0,0,,,,,
blashja01,2017,1,SDN,NL,OF,49,46,1182,75,5,5,1,,,,,
blazemi01,2017,1,MIL,NL,P,5,1,26,0,1,0,0,,,,,
bleieri01,2017,1,BAL,AL,P,57,0,190,5,16,1,2,,,,,
blevije01,2017,1,NYN,NL,P,75,0,147,0,5,1,0,,,,,
bogaexa01,2017,1,BOS,AL,SS,146,143,3931,199,336,17,75,,,,,
bolsimi01,2017,1,TOR,AL,P,11,5,124,0,1,0,0,,,,,
bonifem01,2017,1,ATL,NL,OF,10,2,101,11,0,0,0,,,,,
bonifjo01,2017,1,KCA,AL,OF,102,89,2424,173,4,4,1,,,,,
bonilli01,2017,1,CIN,NL,P,10,4,110,4,2,0,0,,,,,
boshebu01,2017,1,MIN,AL,P,38,0,105,0,4,0,0,,,,,
bostich01,2017,1,PIT,NL,2B,3,3,78,8,7,0,0,,,,,
