yearID,playerID,Games,Wins,Losses
1991,coxbo01,162,94,68
1991,zimmedo01,37,18,19
1991,altobjo01,1,0,1
1991,essiaji01,122,59,63
1991,pinielo01,162,74,88
1991,howear01,162,65,97
1991,lasorto01,162,93,69
1991,rodgebu01,49,20,29
1991,runneto01,112,51,61
1991,harrebu01,154,74,80
1991,cubbami01,7,3,4
1991,leyvani99,13,4,9
1991,fregoji01,149,74,75
1991,leylaji99,162,98,64
1991,riddogr99,162,84,78
1991,craigro01,162,75,87
1991,torrejo01,162,84,78
1992,oatesjo01,162,89,73
1992,hobsobu01,162,73,89
1992,rodgebu01,39,19,20
1992,wathajo01,89,39,50
1992,rodgebu01,34,14,20
1992,lamonge01,162,86,76
1992,hargrmi01,162,76,86
1992,andersp01,162,75,87
1992,mcraeha01,162,72,90
1992,kellyto01,162,90,72
1992,garneph01,162,92,70
1992,showabu99,162,76,86
1992,larusto01,162,96,66
1992,plummbi01,162,64,98
1992,valenbo02,86,45,41
1992,harrato01,76,32,44
1992,gastoci01,162,96,66
1992,coxbo01,162,98,64
1992,lefebji01,162,78,84
1992,pinielo01,162,90,72
1992,howear01,162,81,81
1992,lasorto01,162,63,99
1992,runneto01,37,17,20
1992,aloufe01,125,70,55
1992,torboje01,162,72,90
1992,fregoji01,162,70,92
1992,leylaji99,162,96,66
1992,riddogr99,150,78,72
1992,rigglji99,12,4,8
1992,craigro01,162,72,90
1992,torrejo01,162,83,79
1993,oatesjo01,162,85,77
1993,hobsobu01,162,80,82
1993,rodgebu01,162,71,91
1993,lamonge01,162,94,68
1993,hargrmi01,162,76,86
1993,andersp01,162,85,77
1993,mcraeha01,162,84,78
1993,kellyto01,162,71,91
1993,garneph01,162,69,93
1993,showabu99,162,88,74
1993,larusto01,162,68,94
1993,pinielo01,162,82,80
1993,kenneke99,162,86,76
1993,gastoci01,162,95,67
1993,coxbo01,162,104,58
1993,lefebji01,162,84,78
1993,perezto01,44,20,24
1993,johnsda02,118,53,65
1993,baylodo01,162,67,95
1993,lachere01,162,64,98
1993,howear01,162,85,77
1993,lasorto01,162,81,81
1993,aloufe01,162,94,68
1993,torboje01,38,13,25
1993,greenda02,124,46,78
1993,fregoji01,162,97,65
1993,leylaji99,162,75,87
